t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
22550400,58495411.76,11368939.28,5.511066848e+10,1.570603296e+10,5.498818664e+10,9.17269403e+10,-2.974342375e+10,-1.478273184e+11,-1.683143754e+11,1.497018923e+11,7.232663464e+11,2.875317182e+11,1.416458519e+12,2.176815419e+11,2.870890385e+12,1.534957503e+11,4.502325933e+12,1.233355483e+11
22636800,58932318,11462277.68,5.367187899e+10,1.96037679e+10,5.232776299e+10,9.324420873e+10,-2.723752994e+10,-1.483154335e+11,-1.697048928e+11,1.481230355e+11,7.228481576e+11,2.885799805e+11,1.416332024e+12,2.185091659e+11,2.870858902e+12,1.540832981e+11,4.502313105e+12,1.238079816e+11
22723200,59370941.01,11556294.3,5.194741792e+10,2.339710749e+10,4.962492219e+10,9.468581391e+10,-2.472374961e+10,-1.487606999e+11,-1.710806969e+11,1.465313433e+11,7.224284498e+11,2.896276361e+11,1.41620505e+12,2.193367164e+11,2.870827298e+12,1.546708395e+11,4.502300229e+12,1.242804136e+11
22809600,59811275.65,11650997.42,4.994404618e+10,2.706474442e+10,4.688183474e+10,9.605054139e+10,-2.220280947e+10,-1.491629928e+11,-1.724416685e+11,1.449269537e+11,7.220072241e+11,2.906746828e+11,1.416077597e+12,2.201641933e+11,2.870795575e+12,1.552583745e+11,4.502287304e+12,1.247528442e+11
22896000,60253316.41,11746395.14,4.76701649e+10,3.058567945e+10,4.410070753e+10,9.73372401e+10,-1.967543812e+10,-1.495221998e+11,-1.737876897e+11,1.433100058e+11,7.215844811e+11,2.917211183e+11,1.415949665e+12,2.209915962e+11,2.870763731e+12,1.55845903e+11,4.50227433e+12,1.252252735e+11
22982400,60697057.45,11842495.36,4.513582518e+10,3.393935437e+10,4.128378191e+10,9.854482359e+10,-1.714236585e+10,-1.498382206e+11,-1.751186439e+11,1.416806399e+11,7.21160222e+11,2.927669406e+11,1.415821255e+12,2.218189249e+11,2.870731768e+12,1.56433425e+11,4.502261307e+12,1.256977014e+11
23068800,61142492.55,11939305.77,4.235272636e+10,3.710579112e+10,3.843333168e+10,9.967227107e+10,-1.460432443e+10,-1.501109668e+11,-1.76434416e+11,1.400389972e+11,7.207344474e+11,2.938121473e+11,1.415692366e+12,2.226461792e+11,2.870699684e+12,1.570209405e+11,4.502248235e+12,1.26170128e+11
23155200,61589615.17,12036833.81,3.933420152e+10,4.006573588e+10,3.555166116e+10,1.007186285e+11,-1.206204696e+10,-1.503403625e+11,-1.77734892e+11,1.383852203e+11,7.203071584e+11,2.948567363e+11,1.415562999e+12,2.234733586e+11,2.87066748e+12,1.576084495e+11,4.502235114e+12,1.266425532e+11
23241600,62038418.43,12135086.64,3.609518897e+10,4.280080714e+10,3.26411031e+10,1.016830096e+11,-9516267596,-1.50526344e+11,-1.790199595e+11,1.367194526e+11,7.198783557e+11,2.959007054e+11,1.415433153e+12,2.24300463e+11,2.870635157e+12,1.581959519e+11,4.502221944e+12,1.27114977e+11
23328000,62488895.11,12234071.11,3.265218856e+10,4.529364589e+10,2.970401661e+10,1.025645968e+11,-6967721439,-1.506688596e+11,-1.802895073e+11,1.350418386e+11,7.194480404e+11,2.969440524e+11,1.415302828e+12,2.251274921e+11,2.870602713e+12,1.587834477e+11,4.502208725e+12,1.275873995e+11
23414400,62941037.7,12333793.74,2.902320169e+10,4.752806661e+10,2.674278509e+10,1.033626419e+11,-4417144282,-1.507678699e+11,-1.815434256e+11,1.33352524e+11,7.190162132e+11,2.979867751e+11,1.415172025e+12,2.259544455e+11,2.870570149e+12,1.59370937e+11,4.502195458e+12,1.280598206e+11
